CODE;DESCRIPTION
"EV000375";"S14d"
"EV000376";"Blind cap"
"EV000377";"Loudspeaker connection"
"EV000378";"TAE"
"EV000379";"D-Sub 25-pole"
"EV000380";"BNC/TNC"
"EV000381";"Socket outlet"
"EV000382";"Square"
"EV000383";"Flush-mounted"
"EV000384";"Surface mounted (plaster)"
"EV000388";"Light metal"
"EV000389";"Battery"
"EV000390";"Electromechanical"
"EV000391";"Aluminium/plastic"
"EV000392";"Red cast iron"
"EV000396";"Oval"
"EV000397";"Off switch"
"EV000398";"Reverser"
"EV000399";"Acoustic"
"EV000401";"3P+N+E"
"EV000402";"Polyamide (PA)"
"EV000403";"Thermoplastic"
"EV000405";"Bottom mounting"
"EV000407";"Push button"
"EV000408";"Cable screw gland"
"EV000409";"Angled"
"EV000410";"Device plug"
"EV000411";"Switch/push button"
"EV000412";"Indication plate"
"EV000413";"D"
"EV000414";"Plug-in connection"
"EV000415";"Screw connection"
"EV000416";"Earth leakage switch"
"EV000420";"Plug-in lamp holder"
"EV000421";"Toggle"
"EV000423";"Infrared"
"EV000426";"Single"
"EV000427";"Phillips"
"EV000428";"Optic"
"EV000430";"Pointed"
"EV000432";"LED"
"EV000433";"LCD"
"EV000434";"Sheet metal"
"EV000442";"Bag"
"EV000444";"Toothed"
"EV000445";"Sliding joint"
"EV000446";"Installation tube"
"EV000447";"Sub-floor duct"
"EV000448";"Hydraulic"
"EV000449";"Battery (rechargeable)"
"EV000450";"Sleeve"
"EV000452";"Natural stone"
"EV000454";"Zinc die-cast"
"EV000457";"Empty"
"EV000458";"LSA Plus"
"EV000459";"230 V"
"EV000460";"AC"
"EV000461";"DC"
"EV000462";"1 make contact (NO)"
"EV000463";"2 make contacts (NO)"
"EV000464";"1 change-over contact"
"EV000465";"2 change-over contacts"
"EV000466";"Built-in light sensor"
"EV000467";"Separate light sensor"
"EV000468";"Separate light sensor/cable"
"EV000472";"Socket outlet for wall duct, 2-fold"
"EV000473";"Socket outlet for wall duct, 3-fold"
"EV000474";"Built-in device with framework"
"EV000475";"Devices with central plate"
"EV000476";"60x60 mm"
"EV000483";"2 breaker contacts (NC)"
"EV000484";"Motor protective circuit-breaker"
"EV000486";"Day"
"EV000487";"Week"
"EV000488";"Day/week"
"EV000489";"Quartz"
"EV000490";"1 breaker contact (NC)"
"EV000491";"Without cable"
"EV000494";"None"
"EV000498";"CEE devices 60 mm mounting distance"
"EV000499";"1-pole switch"
"EV000500";"2-pole switch"
"EV000502";"1-pole push button"
"EV000503";"2-pole push button"
"EV000506";"RAM"
"EV000507";"EPROM"
"EV000508";"EEPROM"
"EV000509";"AC/DC"
"EV000510";"PNP"
"EV000511";"Relay"
"EV000512";"Cylindrical"
"EV000516";"Fixing clamp"
"EV000517";"Eye hook"
"EV000518";"Double hook"
"EV000526";"Distributor board mounting"
"EV000527";"Plunger"
"EV000528";"Roller cam"
"EV000529";"Roller lever"
"EV000530";"Rotary lever"
"EV000531";"Actuating rod"
"EV000533";"Quick-break switch"
"EV000534";"Square roller lever"
"EV000535";"Flash light"
"EV000536";"Blinker light"
"EV000537";"Continuous light"
"EV000543";"Varistor (voltage-sensitive resistor)"
"EV000544";"Top mounting"
"EV000545";"Contacts"
"EV000546";"Printed circuit boards"
"EV000547";"Plastic surfaces"
"EV000548";"Electrical systems"
"EV000549";"Precision mechanics"
"EV000550";"Corrosion protection"
"EV000551";"Mechanical locking"
