CODE;DESCRIPTION
"EV004623";"SAT-digital-TV (QPSK, DVB-S)"
"EV004624";"Terrestrial-analogue TV (PAL)"
"EV004625";"Audio/Video (AV)"
"EV004643";"Force and pressure test equipment"
"EV004644";"Force transducer"
"EV004645";"Universal measuring device"
"EV004646";"Two-hand safety control"
"EV004647";"Foot switch"
"EV004648";"Hydraulic hose"
"EV004649";"Coupling sleeve"
"EV004650";"Double nipple"
"EV004651";"Video-camera microphone"
"EV004653";"Kitchen radio"
"EV004655";"Plasma"
"EV004656";"Stereo"
"EV004661";"Conventional"
"EV004663";"Multimedia card"
"EV004664";"SD card"
"EV004665";"Memory stick"
"EV004666";"Flash card"
"EV004667";"MICROMV"
"EV004668";"MiniDV"
"EV004669";"Digital8"
"EV004672";"With cable"
"EV004674";"Mixing console"
"EV004675";"Home cinema system"
"EV004680";"CD"
"EV004681";"DVD"
"EV004682";"Cassette"
"EV004683";"Hi8"
"EV004689";"Monitor"
"EV004694";"Digital videocassette (DV)"
"EV004698";"Suitable for built-under mounting"
"EV004699";"Fully integrable"
"EV004701";"G"
"EV004702";"Without time preselection"
"EV004703";"One preselected time"
"EV004704";"Exhaust air"
"EV004705";"Condensation"
"EV004706";"Microwave solo"
"EV004707";"Microwave + grill"
"EV004708";"Microwave combination"
"EV004709";"Suitable for built-in"
"EV004710";"Built-in"
"EV004711";"Yes"
"EV004712";"Switch-off function"
"EV004714";"1-door"
"EV004715";"2-doors"
"EV004716";"3-doors"
"EV004717";"4-doors"
"EV004718";"Side-by-side"
"EV004722";"Free-standing"
"EV004725";"Possible with accessories"
"EV004726";"Possible and included"
"EV004727";"T"
"EV004731";"Left"
"EV004732";"Right"
"EV004733";"Sliding connection"
"EV004734";"Fixed mounted with hinge hole"
"EV004735";"12 V"
"EV004736";"24 V"
"EV004737";"Gas"
"EV004738";"Visible"
"EV004739";"Audible"
"EV004740";"Both visible and audible"
"EV004741";"No signal"
"EV004742";"Fridge"
"EV004743";"Freezer"
"EV004745";"Fully extendible"
"EV004746";"Cooking cart"
"EV004747";"Telescopic shelf"
"EV004748";"Swing door"
"EV004749";"Glass front"
"EV004750";"7-step"
"EV004751";"12-step"
"EV004753";"Free standing grill"
"EV004754";"Grill table"
"EV004755";"Lithium battery"
"EV004757";"Non-stick"
"EV004758";"Hygienic filter"
"EV004759";"Turbo"
"EV004762";"Concealed"
"EV004763";"Storage heater"
"EV004764";"Peripheral ventilation heater"
"EV004765";"Ventilation-storage heater"
"EV004768";"Wireless remote control"
"EV004769";"Wired remote control"
"EV004774";"2 steps manual"
"EV004775";"2 steps automatic"
"EV004776";"Pressure switch-off"
"EV004777";"2 handles"
"EV004778";"1 lever"
"EV004779";"Integrated tap"
"EV004780";"PU foam"
"EV004782";"Soft foam"
"EV004784";"Hot water heat exchanger"
"EV004790";"Water tap"
"EV004795";"Hot water tank"
"EV004796";"Bidet"
"EV004801";"Surface mounted battery"
"EV004804";"Hot water-free standing storage tank"
"EV004805";"Vertical heating boiler"
"EV004806";"Hanging boiler"
"EV004807";"Combi accumulator"
"EV004808";"Universal storage"
"EV004810";"Hard foam"
"EV004811";"Moulded parts"
"EV004812";"Electro central heating"
"EV004814";"Spread controller"
"EV004815";"Universal controller"
"EV004816";"Central controller"
"EV004825";"Heating foil"
"EV004827";"Floor storage heater"
"EV004828";"Sewed"
"EV004834";"Central air supply and -exhaust"
"EV004835";"Peripheral supply and exhaust"
"EV004836";"Peripheral supply/central exhaust"
"EV004837";"Cross counter current unit"
"EV004838";"Outside air"
"EV004845";"Set electro storage heater"
"EV004846";"Cradle radiator"
"EV004847";"PCB (Printed Circuit Board)"
"EV004848";"Heating cable"
"EV004849";"Horizontal/vertical"
"EV004850";"Charging time &gt;8h"
"EV004851";"Charging time &lt;8h"
"EV004854";"Tube collector"
"EV004855";"Flat collector"
"EV004859";"Integrated into roof plane"
"EV004863";"Approach electronics"
"EV004864";"Double-/single circuit"
"EV004865";"Universal flange"
"EV004866";"Heat exchanger"
"EV004870";"Water"
"EV004871";"Brine"
"EV004877";"Split"
"EV004879";"Hot gas bypass"
"EV004883";"Remote controller"
"EV004884";"Temperature sensor"
"EV004889";"Climate installation"
"EV004891";"Solar systems"
"EV004892";"Heat pump systems"
"EV004894";"Ventilation systems"
"EV004896";"Buffer storage tank"
"EV004897";"Brine distributor"
"EV004898";"Brine mounting kit"
"EV004899";"Installation kit"
"EV004900";"Hot water preparation"
"EV004901";"Partial load range"
"EV004902";"Electrical reheating"
"EV004903";"Hydraulic instantaneous water heater"
"EV004904";"Electronic instantaneous water heater"
"EV004905";"Connection kit"
"EV004906";"Mounting kit hot water preparation"
"EV004907";"Mounting kit electro reheating"
"EV004909";"Air conditioner"
"EV004910";"Air heater system"
"EV004917";"Repair aid"
"EV004919";"Flat-/tube collector"
"EV004920";"Mineral wool"
"EV004922";"2-way valve"
"EV004924";"Sound-muffling cover"
"EV004925";"Fundament sound-absorption"
"EV004926";"Wall-sound insulation"
"EV004932";"Flange mounting set"
"EV004935";"FRA"
"EV004936";"Soft"
"EV004937";"Double-envelope"
"EV004938";"Tube, double-ended"
"EV004939";"s15"
"EV004940";"S30"
"EV004941";"S45"
"EV004942";"S90"
"EV004943";"S105"
"EV004944";"S120"
"EV004945";"S135"
"EV004946";"h15"
"EV004947";"h30"
"EV004948";"h45"
"EV004949";"h120"
"EV004950";"h135"
"EV004951";"se90"
"EV004952";"se30"
"EV004953";"P-90+45"
"EV004954";"P4"
"EV004955";"P20"
"EV004956";"Any"
"EV004957";"Pear-shape"
"EV004959";"Insects"
"EV004960";"Croco"
"EV004961";"Wind gust"
"EV004962";"Top"
"EV004963";"S5.7"
"EV004967";"General"
"EV004969";"W2.1x9.5d"
"EV004970";"Lens-shape"
"EV004971";"Sphere-shape"
"EV004972";"Olive-shape"
"EV004974";"G3.9"
"EV004975";"GX7.9"
"EV004976";"G9.5"
"EV004977";"GZ9.5"
"EV004978";"GY9.6"
"EV004979";"P28s"
"EV004981";"P15"
"EV004982";"S130"
"EV004983";"BDM"
"EV004984";"BRL/BCD"
"EV004985";"BTL"
"EV004986";"BTP"
"EV004987";"BTR"
"EV004988";"BVM"
"EV004989";"CYX"
"EV004990";"DDS"
"EV004991";"DED"
"EV004992";"DNF"
"EV004993";"DWZ"
"EV004994";"DXX"
"EV004995";"DZA"
"EV004996";"DZJ"
"EV004997";"EFM"
"EV004998";"EFP"
"EV004999";"EGR"
"EV005000";"EGY"
"EV005001";"EHA"
"EV005002";"EHJ"
"EV005003";"EHE/ETA"
"EV005004";"EJA"
"EV005005";"EJL"
"EV005006";"EJM"
"EV005007";"EKE"
"EV005008";"EKM"
"EV005009";"ELC"
"EV005010";"ELC/FA"
"EV005011";"ELD/EJN"
"EV005012";"ELH"
"EV005013";"EME"
"EV005014";"EMG"
"EV005015";"ENH"
"EV005016";"ENX"
"EV005017";"EPZ/DJT"
"EV005018";"ERV"
"EV005019";"ESA/FDH"
"EV005020";"EVB/BRJ"
"EV005021";"EVC/FGX"
"EV005022";"EVD"
"EV005023";"EVM"
"EV005024";"EVX/GX"
"EV005025";"EWF"
"EV005026";"EXJ"
"EV005027";"EXR"
"EV005028";"EXW"
"EV005029";"EYB"
"EV005030";"FAD"
"EV005031";"FCM"
"EV005032";"FCR"
"EV005033";"FDS/DZE"
"EV005034";"FDT"
"EV005035";"FEL"
"EV005036";"FGP/EMG"
"EV005037";"FHM"
"EV005038";"FHS"
"EV005039";"FHX"
"EV005040";"FJX"
"EV005041";"FKB"
"EV005042";"FKK/FKP"
"EV005043";"FKY"
"EV005044";"FKZ"
"EV005045";"FLK"
"EV005046";"FLKW"
"EV005047";"FLT"
"EV005048";"FNT"
"EV005049";"FTL"
"EV005050";"FTM"
"EV005051";"FRH"
"EV005052";"FRJ"
"EV005053";"FRL"
"EV005054";"FSK"
"EV005055";"FSL"
"EV005056";"FVA"
"EV005057";"FVB"
"EV005058";"FVC"
"EV005059";"FWP"
"EV005060";"FWR"
"EV005061";"FKD"
"EV005062";"FKH"
"EV005063";"FKJ"
"EV005064";"FWS"
"EV005065";"FWT"
"EV005066";"FXL"
"EV005067";"GAB"
"EV005068";"GAC"
"EV005069";"GAD"
"EV005070";"GCV/GVH"
"EV005071";"GCW/GCJ"
"EV005072";"GCK/GCT"
"EV005073";"GCL/GCS"
"EV005074";"GED"
"EV005075";"GJT"
"EV005076";"GKV"
"EV005077";"GLA"
"EV005078";"GLB"
"EV005079";"Biplane"
"EV005080";"M-shape"
"EV005081";"Double filament"
"EV005082";"Mono-plane"
"EV005083";"Single filament"
"EV005084";"Halogen metal"
"EV005085";"Cool beam reflector"
"EV005087";"BA15s"
"EV005088";"W2.5x9.5d"
"EV005089";"C21W"
"EV005090";"C5W"
"EV005091";"H6W"
"EV005092";"H12"
"EV005093";"H21W"
"EV005094";"HB3"
"EV005095";"HB3A"
"EV005096";"HB4"
"EV005097";"HB4A"
"EV005098";"HS1"
"EV005099";"HS2"
"EV005100";"R2"
"EV005101";"P21/4W"
"EV005102";"P21/5W"
"EV005103";"P21W"
"EV005104";"P27W"
"EV005105";"PY21W"
"EV005106";"PY27/7W"
"EV005107";"R5W"
"EV005108";"R10W"
"EV005109";"S1"
"EV005110";"S2"
"EV005111";"S3"
"EV005112";"T4W"
"EV005113";"W2.3W"
"EV005114";"W3W"
"EV005115";"W5W"
"EV005116";"W16W"
"EV005117";"W21W"
"EV005118";"W21/5W"
"EV005119";"WP21W"
"EV005120";"WPY21W"
"EV005121";"WY2.3W"
"EV005122";"WY5W"
"EV005123";"Without ECE-category"
"EV005124";"P27/7W"
"EV005134";"Only ON"
"EV005135";"On or off"
"EV005136";"Without hood"
"EV005137";"Transport - hoist"
"EV005150";"ADR"
"EV005151";"Antenna/satellite technique"
"EV005152";"1 BNC Video"
"EV005153";"1 BNC Audio"
"EV005154";"1 F-Connector"
"EV005155";"1 Cinch Audio"
"EV005156";"2 BNC Video"
"EV005157";"2 BNC Audio"
"EV005158";"1 HF"
"EV005160";"IBM AS400"
"EV005165";"1-2 / 3-6"
"EV005166";"3-6 / 4-5"
"EV005167";"1-6 / 5-9"
"EV005168";"LC-Duplex"
"EV005169";"E2000 compact"
"EV005170";"FC/PC"
"EV005171";"Conductor pigtail"
"EV005172";"Cable pigtail"
"EV005175";"Put-on"
"EV005180";"RJ10 4(4)"
"EV005181";"RJ9 4(2)"
"EV005185";"1:1"
"EV005186";"Crossed"
"EV005187";"Moulded-on"
"EV005188";"4x2"
"EV005189";"2x2"
"EV005190";"1x4"
"EV005191";"2x4"
"EV005196";"GLC"
"EV005197";"Piezo"
"EV005198";"Flintstone"
"EV005199";"Soldering iron direct"
"EV005200";"Workstation"
"EV005201";"Viscose"
"EV005202";"Steel wool"
"EV005205";"Touch operated lock"
"EV005206";"Key lock"
"EV005208";"Chisel shaped"
"EV005210";"Measuring adapter"
"EV005217";"Screens"
"EV005218";"Glass surfaces"
"EV005219";"Printer mechanics"
"EV005222";"Tubes"
"EV005223";"Support"
"EV005224";"Welds"
"EV005238";"Insulated tube cable lug and connector"
"EV005240";"Cutting insert"
"EV005271";"Inclined"
"EV005272";"DIN rail (top hat rail) 35/15 mm"
"EV005273";"DIN rail (top hat rail) 35/7.5 mm"
"EV005274";"G-rail"
"EV005276";"Direct mounting"
"EV005277";"Special profile"
"EV005279";"5V"
"EV005280";"Pluggable"
"EV005282";"Cu/CuNi44"
"EV005283";"Fe/CuNi44"
"EV005284";"NiCr/CuNi44"
"EV005285";"NiCrSi/NiSi"
"EV005286";"NiCr/Ni"
"EV005287";"E-Cu/A-Cu"
"EV005288";"S-Cu/E-Cu"
"EV005289";"Sliding"
"EV005290";"3x10 mm"
"EV005291";"6x6 mm"
"EV005292";"5x20 mm"
"EV005293";"Bichromated"
"EV005294";"Round hole"
"EV005296";"1/N~230 V"
"EV005298";"5x25 mm"
"EV005299";"6.3x32 mm"
"EV005300";"Cs"
"EV005306";"gL/gG (cable protection/equipment protection)"
"EV005307";"aM (switchgear protection)"
"EV005308";"gR (general purpose semiconductor protection)"
"EV005309";"aR (accompanied semiconductor protection)"
"EV005310";"NHC00"
"EV005311";"000"
"EV005321";"DI"
"EV005323";"Sorted"
"EV005336";"With inscription"
"EV005349";"Complementary mounting set"
"EV005350";"Round duct"
"EV005352";"Metal housing"
"EV005353";"Plastic housing"
"EV005355";"Ceiling mounting"
"EV005366";"Pitched roof"
"EV005371";"1/N/PE~230 V"
"EV005372";"DN 15"
"EV005373";"DN 20"
"EV005374";"DN 25"
"EV005375";"DN 30"
"EV005376";"Ex-proof"
"EV005377";"3/4 inch external thread"
"EV005382";"UV"
"EV005383";"PSFc20-6"
"EV005385";"2G11 (4-pins)"
"EV005387";"G23 (2-pins)"
"EV005403";"GY6.35-15"
"EV005404";"K23s"
"EV005405";"KX23d"
"EV005406";"Ring mirror"
"EV005410";"2-pole"
"EV005416";"Equipment mounted socket outlet"
"EV005418";"Combination"
"EV005420";"400 V"
"EV005434";"Screw less terminal"
"EV005435";"Anti-kink sleeve"
"EV005444";"75x75 mm"
"EV005454";"130x130 mm"
"EV005455";"CEE 16 A"
"EV005456";"CEE 32 A"
"EV005457";"Wall mounted socket"
"EV005458";"Equipment mounted socket outlet (under plaster)"
"EV005459";"Flush mounted socket with UP box"
"EV005460";"Double socket outlet"
"EV005461";"Closed cover"
"EV005462";"Cover with text label"
"EV005463";"Cover with text label and lock"
"EV005467";"Low voltage"
"EV005469";"Built-up device plug"
"EV005470";"Switchable wall socket"
"EV005473";"Without on/off switch"
"EV005474";"With on/off switch, without locking"
"EV005475";"Electrical locking"
"EV005476";"Electronic locking"
"EV005477";"Auxiliary contacts"
"EV005478";"Special switch"
"EV005479";"Mixed"
"EV005482";"Resistor"
"EV005483";"Suppressor diode"
"EV005484";"Gas tube conductor"
"EV005485";"Free configurable"
"EV005489";"Screw less"
"EV005490";"Transverse connector"
"EV005491";"Box connector"
"EV005492";"Vertical connector"
"EV005493";"Cable bridge"
"EV005494";"Push-in type jumper bar"
"EV005495";"Wire commoning chain"
"EV005496";"Separating bridger"
"EV005497";"Switching bridge"
"EV005498";"Reducing connector"
"EV005499";"Blade fuse"
"EV005500";"G-fuse 5x25 mm"
"EV005501";"G-fuse 5x20 mm"
"EV005502";"G-fuse 5x30 mm"
"EV005503";"DIN rail (top hat rail) 35 mm"
"EV005504";"DIN rail (top hat rail) 15 mm"
"EV005505";"DIN rail (top hat rail) mounting rail 75 mm"
"EV005506";"15x6 mm"
"EV005514";"Bus system"
"EV005515";"1+n system"
"EV005516";"Multi-wire system"
"EV005517";"SN"
"EV005518";"Standing"
"EV005519";"Wall lead-through"
"EV005523";"Plug-in"
"EV005528";"Switch (connect)"
"EV005538";"DECT-module"
"EV005539";"UPO-module"
"EV005540";"Fast beat"
"EV005541";"Slow beat"
"EV005542";"Single beat"
"EV005543";"Alternating"
"EV005544";"2-wire"
"EV005551";"Tunnel"
"EV005556";"Radio antenna"
"EV005557";"Radio-/television antenna"
"EV005558";"One-wing, left and right"
"EV005559";"One-wing, left only"
"EV005560";"One-wing, right only"
"EV005561";"Gate stop"
"EV005562";"Internal end switch"
"EV005565";"SAT audio sub carriers"
"EV005566";"Cable-digital-TV (QAM, DVB-C)"
"EV005567";"Green/colourless"
"EV005568";"Xenon"
"EV005569";"Terrestrial-digital TV (COFDM, DVB-T)"
"EV005570";"Horn"
"EV005571";"Sound generator"
"EV005572";"Digital"
"EV005573";"Offset"
"EV005574";"Twin universal"
"EV005575";"Single universal"
"EV005576";"1 Cinch Video"
"EV005577";"Halogen"
"EV005578";"Fresnel lens"
"EV005579";"Glass optics"
"EV005585";"Distribute"
"EV005586";"Convert"
"EV005587";"Expand"
"EV005588";"Signalling"
"EV005589";"Controlling"
"EV005593";"AM"
"EV005594";"Chamfered"
"EV005596";"Pencil point"
"EV005597";"Side"
"EV005600";"Adapter set for covers"
"EV005603";"1x16A3p230V"
"EV005604";"2x16A3p230V"
"EV005605";"3x16A3p230V"
"EV005606";"&gt;4x16A3p230V"
"EV005607";"1x16A5p400V"
"EV005608";"2x16A5p400V"
"EV005609";"3x16A5p400V"
"EV005610";"4x16A5p400V"
"EV005611";"&gt;4x16A5p400V"
"EV005612";"1x16A xp xxxV"
"EV005613";"2x16A xp xxxV"
"EV005614";"1x32A5p400V"
"EV005615";"2x32A5p400V"
"EV005616";"3x32A5p400V"
"EV005617";"4x32A5p400V"
"EV005618";"&gt;4x32A5p400V"
"EV005619";"1x32A xp xxxV"
"EV005620";"2x32A xp xxxV"
"EV005621";"3x32A xp xxV"
"EV005622";"4x32A xp xxxV"
"EV005623";"1 cable (branch line)"
"EV005624";"2 cables (ring line)"
"EV005625";"Built-up plug"
"EV005626";"Feeder cable with plug"
"EV005627";"Portable"
"EV005628";"Hangable"
"EV005629";"Sub floor"
"EV005630";"Energy bollard"
"EV005633";"Roof feed-through"
"EV005634";"Sealing for roof feed-through"
"EV005635";"Mast clamp"
"EV005636";"Mast covering cap"
"EV005637";"Mast mounting set"
"EV005638";"Sealing plug"
"EV005639";"Mast spacing support"
"EV005641";"Analogue"
"EV005642";"Pointer"
"EV005643";"Forehead"
"EV005644";"Ear"
"EV005647";"Décolletage"
"EV005650";"Gypsum fibre board"
"EV005656";"Spline shank"
"EV005657";"SDS-max socket"
"EV005658";"SDS-plus socket"
"EV005659";"SDS-top socket"
"EV005668";"Square"
"EV005678";"&gt;4x32A xp xxxV"
"EV005679";"1x63A5p400V"
"EV005680";"2x63A5p400V"
"EV005681";"3x63A5p400V"
"EV005682";"4x63A5p400V"
"EV005683";"&gt;4x63A5p400V"
"EV005684";"1x63A xp xxxV"
"EV005685";"2x63A xp xxxV"
"EV005686";"3x63A xp xxxV"
"EV005687";"4x63A xp xxxV"
"EV005688";"&gt;4x63A xp xxxV"
"EV005689";"1x125A5p400V"
"EV005690";"2x125A5p400V"
"EV005691";"3x125A5p400V"
"EV005692";"4x125A5p400V"
"EV005693";"&gt;4x125A5p400V"
"EV005694";"1x125A xp xxxV"
"EV005695";"2x125A xp xxxV"
"EV005696";"3x125A xp xxxV"
"EV005697";"4x125A xp xxxV"
"EV005698";"4x16A3p230V"
"EV005699";"&gt;4x125A xp xxxV"
"EV005700";"Over current switch"
"EV005701";"Over current switch/D0-system"
"EV005703";"Earth leakage switch with IFN 30 mA (standard)"
"EV005704";"Earth leakage switch with IFN 300 mA"
"EV005705";"Earth leakage switch with IFN 500 mA"
"EV005707";"12 - 24 V AC/DC"
"EV005708";"8 - 18 V DC"
"EV005711";"Via digital time switch"
"EV005712";"External power adaptor required"
"EV005713";"External power adaptor not required"
"EV005714";"Electronic with switching-off pre-warning"
"EV005718";"3 and 4 wire configuration"
"EV005719";"3 wire configuration"
"EV005720";"4 wire configuration"
"EV005721";"Flickering"
"EV005722";"Dimming up to 50 %"
"EV005723";"Dimming up to 0 %"
"EV005724";"Flickering and dimming"
"EV005725";"Repetitive"
"EV005726";"Repetitive + continuous light"
"EV005727";"Repetitive + continuous light + time extension"
"EV005728";"Electronic switch"
"EV005729";"Mechanical switch"
"EV005730";"Electronic series switch"
"EV005731";"Mechanical series switch"
"EV005732";"Electronic group switch"
"EV005733";"Mechanical group switch"
"EV005734";"Electronic for centralized control"
"EV005735";"Mechanical for centralized control"
"EV005736";"Electronic with release delay"
"EV005741";"PLC - extension"
"EV005742";"PLC - PC"
"EV005743";"PLC programming device"
"EV005744";"PLC - PLC"
"EV005745";"PLC - other devices"
"EV005746";"Optional"
"EV005747";"Not available"
"EV005752";"Spring clamp connection"
"EV005753";"Screw-/spring clamp connection"
"EV005754";"Wrapped connection"
"EV005755";"Clip connection"
"EV005756";"Soldering flag connection"
"EV005757";"Insulation piercing connection"
"EV005758";"Welding connection"
"EV005759";"TFT"
"EV005760";"STN"
"EV005762";"Box"
"EV005763";"Rack"
"EV005764";"Tower"
"EV005765";"Desktop"
"EV005769";"Intel Pentium 3"
"EV005770";"Intel Pentium 4"
"EV005771";"Athlon XP"
"EV005772";"Cyrix"
"EV005773";"Windows 9x"
"EV005774";"Windows NT"
"EV005775";"Embedded Windows NT"
"EV005776";"Embedded Windows XP"
"EV005777";"Windows 2000"
"EV005778";"Windows XP"
"EV005779";"Windows ME"
"EV005780";"Windows CE"
"EV005781";"Linux"
"EV005782";"SMATV-system"
"EV005783";"Portable device"
"EV005784";"Notebook"
"EV005785";"Line oriented"
"EV005786";"Graphic oriented"
"EV005787";"Not required"
"EV005788";"Enclosed"
"EV005789";"0/14/18 V 22 kHz"
"EV005790";"0/14/18 V DiSEqC"
"EV005791";"Premiere"
"EV005792";"Viaccess"
"EV005793";"Irdeto"
"EV005794";"PC interface"
"EV005799";"Module rack extension"
"EV005800";"Broadband amplifier"
"EV005803";"OPC server"
"EV005804";"Active X"
"EV005805";"PCI+"
"EV005806";"14/18 V, DiSEqC, 0/22 kHz"
"EV005807";"0/12 V"
"EV005808";"Vacuum fluorescence"
"EV005809";"LCD with background illumination"
"EV005810";"LCD without background illumination"
"EV005811";"Sat range diplexer/filter"
"EV005812";"Feed-in diplexer SAT/terrestrial"
"EV005813";"Remote feed diplexer"
"EV005814";"Trap filter"
"EV005815";"CRT"
"EV005816";"1-channel"
"EV005817";"2-channel"
"EV005818";"3-channel"
"EV005819";"Polarized"
"EV005820";"Polarity free"
"EV005821";"Mono stable"
"EV005822";"Bistable"
"EV005823";"Remanence"
"EV005824";"Single contact"
"EV005825";"Double contact"
"EV005827";"For AC-current system"
"EV005828";"For three-phase supply system"
"EV005829";"For DC-current system"
"EV005830";"For mixed system"
"EV005834";"Type III A"
"EV005835";"Type III B"
"EV005836";"Type III C"
"EV005843";"IBM cabling system"
"EV005854";"Hinged lid"
"EV005856";"20x5 mm"
"EV005858";"DIN rail (top hat rail) 32 mm"
"EV005864";"U"
"EV005865";"Rod"
"EV005866";"Standard"
"EV005869";"Shutter"
"EV005887";"Without protective contact"
"EV005891";"Earthing pin"
"EV005897";"M12 x 1.5"
"EV005898";"M16 x 1.5"
"EV005899";"M20 x 1.5"
"EV005900";"M25 x 1.5"
"EV005901";"M32 x 1.5"
"EV005902";"M40 x 1.5"
"EV005903";"M50 x 1.5"
"EV005908";"Polyamide, glass fibre reinforced"
"EV005911";"With thread"
"EV005912";"Telco 50-pole"
"EV005913";"Polyvinyl chloride (PVC), oil durable"
"EV005915";"45°-Bend"
"EV005916";"90°-Bend"
"EV005917";"45°-elbow"
"EV005918";"90°-elbow"
"EV005920";"Fibre optic conductor"
"EV005922";"DN 32"
"EV005923";"Supply-/exhaust air set for central air supply"
"EV005924";"Supply-/exhaust air set for decentralized air supply"
"EV005925";"Exhaust air set"
"EV005926";"Exhaust-/open air set"
"EV005953";"10 mm"
"EV005965";"Armouring"
"EV005968";"Metallic"
"EV005986";"Rotating axis"
"EV005987";"Without actuator"
"EV005991";"Incremental encoder"
"EV005993";"A+B"
"EV005994";"A+B+0"
"EV006006";"Desk type"
"EV006007";"Wall duct installation"
"EV006008";"CuNi"
"EV006010";"Printer heads"
"EV006011";"Anti-static"
"EV006013";"Field/field"
"EV006014";"Cabinet/cabinet"
"EV006015";"Housing/housing"
"EV006016";"Audio-CD-RW"
"EV006018";"Subwoofer"
"EV006020";"Cassette recorder"
"EV006028";"Pendant"
"EV006032";"Floor heating"
"EV006034";"Untreated"
"EV006035";"Countersunk rounded head"
"EV006036";"Set"
"EV006037";"Downwards"
"EV006039";"Coaxial antenna socket outlet"
"EV006040";"Connection cabinet"
"EV006041";"Connection-/distributor cabinet"
"EV006043";"T1"
"EV006050";"1 change over switch"
"EV006051";"2 change over switches"
"EV006052";"1 daily/weekly contact"
"EV006066";"Trunk line (local loop) extension"
"EV006067";"Audio recorder"
"EV006070";"Point-to-point connection module"
"EV006073";"Mobile module"
"EV006074";"Substation extension"
"EV006077";"Software package"
"EV006078";"Substation change over switch"
"EV006079";"System display"
"EV006084";"Dialling device"
"EV006085";"Installation module"
"EV006087";"In branch box"
"EV006088";"In junction box"
"EV006089";"Single-/quad picture"
"EV006090";"Single picture"
"EV006093";"Vibration alarm unit"
"EV006099";"Granulate"
"EV006100";"ABC-keyboard"
"EV006103";"Leather"
"EV006104";"Leather/metal"
"EV006105";"Outdoor surface heating"
"EV006110";"Cubic"
"EV006114";"PNP/NPN"
"EV006116";"Magnetic"
"EV006120";"Wire"
"EV006121";"Stripper/skinner"
"EV006123";"Concrete building"
"EV006124";"Tube"
"EV006125";"Coins"
"EV006128";"Steel varnished"
"EV006133";"Sand-proof"
"EV006134";"Watertight"
"EV006135";"Twofold"
"EV006136";"Fourfold"
"EV006137";"Six fold"
"EV006138";"With terminal strip"
"EV006139";"With solder eyelets"
"EV006140";"With cutting-clamp strip"
"EV006143";"Pliable corrugated with synthetic sheath"
"EV006146";"Slot"
"EV006147";"EPR"
"EV006166";"Parallel branch"
"EV006167";"III"
"EV006170";"Phase cut-on"
"EV006171";"Phase cut-off"
"EV006179";"Conductor bar"
"EV006183";"Safety transformer"
"EV006185";"1-phase electronic adapter transformer"
"EV006186";"3-phase electronic adapter transformer"
"EV006189";"Phase cut-off/cut-on"
"EV006192";"1 mounting rail"
"EV006193";"2 mounting rails"
"EV006194";"3 conductors AWG 12"
"EV006195";"Round conductor/copper band"
"EV006196";"Round conductor/laminated copper rail"
"EV006197";"Laminated copper rail"
"EV006198";"3 conductors AWG 10"
"EV006199";"3 conductors AWG 10/3 clamps 10 mm²"
"EV006200";"Electronics cabinet"
"EV006201";"Shelf"
"EV006202";"Swing frame"
"EV006203";"Connection system"
"EV006204";"Network cabinet"
"EV006237";"CTG G"
"EV006238";"UNEF"
"EV006239";"1/4 inch"
"EV006240";"5/16 inch"
"EV006242";"1 3/4 inch"
"EV006243";"1 3/8 inch"
"EV006244";"1 7/16 inch"
"EV006245";"15/16 inch"
"EV006246";"5/8 inch"
"EV006247";"7/8 inch"
"EV006249";"IEEE 802.11 b"
"EV006251";"Bluetooth"
"EV006253";"Push cart"
"EV006254";"Roll board"
"EV006255";"C-profile"
"EV006259";"Control switch"
"EV006260";"Venetian blind switch"
"EV006262";"Standard bell ringing transformer"
"EV006263";"Mains transformer"
"EV006264";"Parallel capacitor for L-lamp"
"EV006265";"Series capacitor for L-lamp"
"EV006266";"Motor operating capacitor"
"EV006270";"Iron core transformer"
"EV006272";"Key switch"
"EV006273";"100 g"
"EV006274";"200 g"
"EV006275";"500 g"
"EV006276";"1 kg"
"EV006277";"Socket outlet with protective contact (SCHUKO), right-angled"
"EV006278";"Cable lug"
"EV006279";"Cold device plug (IEC 60320)"
"EV006280";"EURO plug (CEE 7/16)"
"EV006281";"Double slot plug, female"
"EV006283";"Euro-plug, female (CEE 7/16)"
"EV006284";"Hot device plug, 115 °C"
"EV006285";"Cold device plug angled, female"
"EV006286";"Small device plug, female"
"EV006287";"Coupler with protective contact (SCHUKO)"
"EV006288";"Hot device plug, female"
"EV006289";"Bundle"
"EV006290";"Colour + rings"
"EV006291";"Foamed polypropylene"
"EV006292";"Rubber - chlorinated/chlorosulfonated polyethylene (CPE/CSP)"
"EV006293";"Rubber - Hard grade Ethylene Propylene Rubber (HEPR)"
"EV006294";"Class D = flexible"
"EV006295";"Class E = very flexible"
"EV006296";"Semi tight"
"EV006297";"Layers"
"EV006301";"Mica + crosslinked polyethylene (XLPE)"
"EV006303";"According to IEC/EN 60332-3-22"
"EV006304";"Pairs"
"EV006307";"PH 120"
"EV006308";"PH 15"
"EV006309";"PH 30"
"EV006310";"PH 60"
"EV006311";"PH 90"
"EV006313";"Crosslinked polyethylene (XLPE)"
"EV006316";"Al/PE"
"EV006317";"1 make contact (NO), 1 breaker contact (NC)"
"EV006318";"10x2.5 mm²"
"EV006319";"12x2.5 mm²"
"EV006320";"13x2.5 mm²"
